torch_name,onnx_name
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear1.weight,onnx::MatMul_9665
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear1.bias,b1.a106.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear2.weight,onnx::MatMul_9666
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear2.bias,b1.a106.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.earth_specific_bias,onnx::Add_9663
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear1.weight,onnx::MatMul_9659
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear1.bias,b1.a102.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear2.weight,onnx::MatMul_9664
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear2.bias,b1.a103.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm1.weight,b1.a112.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm1.bias,b1.a112.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm2.weight,b1.a113.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm2.bias,b1.a113.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear1.weight,onnx::MatMul_9678
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear1.bias,b1.a114.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear2.weight,onnx::MatMul_9679
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear2.bias,b1.a114.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.earth_specific_bias,onnx::Add_9676
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear1.weight,onnx::MatMul_9672
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear1.bias,b1.a110.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear2.weight,onnx::MatMul_9677
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear2.bias,b1.a111.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm1.weight,b1.a120.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm1.bias,b1.a120.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm2.weight,b1.a121.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm2.bias,b1.a121.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear1.weight,onnx::MatMul_9785
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear1.bias,b1.a122.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear2.weight,onnx::MatMul_9786
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear2.bias,b1.a122.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.earth_specific_bias,onnx::Add_9783
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear1.weight,onnx::MatMul_9779
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear1.bias,b1.a118.bias
